Variable,Year,Value,RSE,State,Industry
Sheep flock at 30 June (no.),2004,2975,10,Western Australia,All Broadacre
Beef bulls at 30 June (no.),2004,,,Western Australia,Beef
Beef calves at 30 June (no.),2004,,,Western Australia,Beef
Beef cows at 30 June (no.),2004,,,Western Australia,Beef
Dairy cattle at June 30 (no.),2004,0,,Western Australia,Beef
Lambs at 30 June (no.),2004,,,Western Australia,Beef
Sheep flock at 30 June (no.),2004,115,107,Western Australia,Beef
Beef bulls at 30 June (no.),2004,,,Western Australia,Cropping
Beef calves at 30 June (no.),2004,,,Western Australia,Cropping
Beef cows at 30 June (no.),2004,,,Western Australia,Cropping
Dairy cattle at June 30 (no.),2004,0,,Western Australia,Cropping
Lambs at 30 June (no.),2004,,,Western Australia,Cropping
Sheep flock at 30 June (no.),2004,1871,14,Western Australia,Cropping
Dairy cattle at June 30 (no.),2004,390,8,Western Australia,Dairy
Dairy cows at 30 June (no.),2004,,,Western Australia,Dairy
Beef bulls at 30 June (no.),2004,,,Western Australia,Mixed
Beef calves at 30 June (no.),2004,,,Western Australia,Mixed
Beef cows at 30 June (no.),2004,,,Western Australia,Mixed
Dairy cattle at June 30 (no.),2004,0,,Western Australia,Mixed
Lambs at 30 June (no.),2004,,,Western Australia,Mixed
Sheep flock at 30 June (no.),2004,4775,16,Western Australia,Mixed
Beef bulls at 30 June (no.),2004,,,Western Australia,Sheep
Beef calves at 30 June (no.),2004,,,Western Australia,Sheep
Beef cows at 30 June (no.),2004,,,Western Australia,Sheep
Dairy cattle at June 30 (no.),2004,0,,Western Australia,Sheep
Lambs at 30 June (no.),2004,,,Western Australia,Sheep
Sheep flock at 30 June (no.),2004,4197,33,Western Australia,Sheep
Beef bulls at 30 June (no.),2004,,,Western Australia,Sheep-Beef
Beef calves at 30 June (no.),2004,,,Western Australia,Sheep-Beef
Beef cows at 30 June (no.),2004,,,Western Australia,Sheep-Beef
Dairy cattle at June 30 (no.),2004,0,,Western Australia,Sheep-Beef
Lambs at 30 June (no.),2004,,,Western Australia,Sheep-Beef
Sheep flock at 30 June (no.),2004,2688,28,Western Australia,Sheep-Beef
Beef bulls at 30 June (no.),2005,4,11,New South Wales,All Broadacre
Beef calves at 30 June (no.),2005,51,10,New South Wales,All Broadacre
Beef cows at 30 June (no.),2005,100,8,New South Wales,All Broadacre
Dairy cattle at June 30 (no.),2005,0,98,New South Wales,All Broadacre
Lambs at 30 June (no.),2005,378,8,New South Wales,All Broadacre
Sheep flock at 30 June (no.),2005,1497,6,New South Wales,All Broadacre
Beef bulls at 30 June (no.),2005,11,13,New South Wales,Beef
Beef calves at 30 June (no.),2005,103,14,New South Wales,Beef
Beef cows at 30 June (no.),2005,219,11,New South Wales,Beef
Dairy cattle at June 30 (no.),2005,0,,New South Wales,Beef
Lambs at 30 June (no.),2005,57,88,New South Wales,Beef
Sheep flock at 30 June (no.),2005,171,61,New South Wales,Beef
Beef bulls at 30 June (no.),2005,1,54,New South Wales,Cropping
Beef calves at 30 June (no.),2005,30,69,New South Wales,Cropping
Beef cows at 30 June (no.),2005,36,59,New South Wales,Cropping
Dairy cattle at June 30 (no.),2005,0,,New South Wales,Cropping
Lambs at 30 June (no.),2005,337,18,New South Wales,Cropping
Sheep flock at 30 June (no.),2005,1043,12,New South Wales,Cropping
Dairy cattle at June 30 (no.),2005,279,5,New South Wales,Dairy
Dairy cows at 30 June (no.),2005,,,New South Wales,Dairy
Beef bulls at 30 June (no.),2005,2,26,New South Wales,Mixed
Beef calves at 30 June (no.),2005,31,19,New South Wales,Mixed
Beef cows at 30 June (no.),2005,62,16,New South Wales,Mixed
Dairy cattle at June 30 (no.),2005,0,,New South Wales,Mixed
Lambs at 30 June (no.),2005,398,13,New South Wales,Mixed
Sheep flock at 30 June (no.),2005,1406,10,New South Wales,Mixed
Beef bulls at 30 June (no.),2005,1,21,New South Wales,Sheep
Beef calves at 30 June (no.),2005,17,23,New South Wales,Sheep
Beef cows at 30 June (no.),2005,47,33,New South Wales,Sheep
Dairy cattle at June 30 (no.),2005,1,94,New South Wales,Sheep
Lambs at 30 June (no.),2005,570,10,New South Wales,Sheep
Sheep flock at 30 June (no.),2005,2597,8,New South Wales,Sheep
Beef bulls at 30 June (no.),2005,7,18,New South Wales,Sheep-Beef
Beef calves at 30 June (no.),2005,85,20,New South Wales,Sheep-Beef
Beef cows at 30 June (no.),2005,151,12,New South Wales,Sheep-Beef
Dairy cattle at June 30 (no.),2005,0,,New South Wales,Sheep-Beef
Lambs at 30 June (no.),2005,614,14,New South Wales,Sheep-Beef
Sheep flock at 30 June (no.),2005,2832,12,New South Wales,Sheep-Beef
Beef bulls at 30 June (no.),2005,220,13,Northern Territory,All Broadacre
Beef calves at 30 June (no.),2005,1671,15,Northern Territory,All Broadacre
Beef cows at 30 June (no.),2005,4837,26,Northern Territory,All Broadacre
Dairy cattle at June 30 (no.),2005,0,,Northern Territory,All Broadacre
Lambs at 30 June (no.),2005,0,,Northern Territory,All Broadacre
Sheep flock at 30 June (no.),2005,8,90,Northern Territory,All Broadacre
Beef bulls at 30 June (no.),2005,220,13,Northern Territory,Beef
Beef calves at 30 June (no.),2005,1671,15,Northern Territory,Beef
Beef cows at 30 June (no.),2005,4837,26,Northern Territory,Beef
Dairy cattle at June 30 (no.),2005,0,,Northern Territory,Beef
Lambs at 30 June (no.),2005,0,,Northern Territory,Beef
Sheep flock at 30 June (no.),2005,8,90,Northern Territory,Beef
Beef bulls at 30 June (no.),2005,16,8,Queensland,All Broadacre
Beef calves at 30 June (no.),2005,201,7,Queensland,All Broadacre
Beef cows at 30 June (no.),2005,408,7,Queensland,All Broadacre
Dairy cattle at June 30 (no.),2005,0,,Queensland,All Broadacre
Lambs at 30 June (no.),2005,94,17,Queensland,All Broadacre
Sheep flock at 30 June (no.),2005,489,14,Queensland,All Broadacre
Beef bulls at 30 June (no.),2005,22,9,Queensland,Beef
Beef calves at 30 June (no.),2005,290,8,Queensland,Beef
Beef cows at 30 June (no.),2005,588,8,Queensland,Beef
Dairy cattle at June 30 (no.),2005,0,,Queensland,Beef
Lambs at 30 June (no.),2005,9,65,Queensland,Beef
Sheep flock at 30 June (no.),2005,32,64,Queensland,Beef
Beef bulls at 30 June (no.),2005,3,43,Queensland,Cropping
Beef calves at 30 June (no.),2005,13,33,Queensland,Cropping
Beef cows at 30 June (no.),2005,31,35,Queensland,Cropping
Dairy cattle at June 30 (no.),2005,0,,Queensland,Cropping
Lambs at 30 June (no.),2005,12,66,Queensland,Cropping
Sheep flock at 30 June (no.),2005,34,63,Queensland,Cropping
Dairy cattle at June 30 (no.),2005,222,6,Queensland,Dairy
Dairy cows at 30 June (no.),2005,,,Queensland,Dairy
Beef bulls at 30 June (no.),2005,5,18,Queensland,Mixed
Beef calves at 30 June (no.),2005,92,17,Queensland,Mixed
Beef cows at 30 June (no.),2005,133,18,Queensland,Mixed
Dairy cattle at June 30 (no.),2005,0,,Queensland,Mixed
Lambs at 30 June (no.),2005,65,42,Queensland,Mixed
Sheep flock at 30 June (no.),2005,283,44,Queensland,Mixed
Beef bulls at 30 June (no.),2005,3,35,Queensland,Sheep
Beef calves at 30 June (no.),2005,11,29,Queensland,Sheep
Beef cows at 30 June (no.),2005,70,42,Queensland,Sheep
Dairy cattle at June 30 (no.),2005,0,,Queensland,Sheep
Lambs at 30 June (no.),2005,640,30,Queensland,Sheep
Sheep flock at 30 June (no.),2005,3273,19,Queensland,Sheep
Beef bulls at 30 June (no.),2005,16,27,Queensland,Sheep-Beef
Beef calves at 30 June (no.),2005,130,25,Queensland,Sheep-Beef
Beef cows at 30 June (no.),2005,342,17,Queensland,Sheep-Beef
Dairy cattle at June 30 (no.),2005,0,,Queensland,Sheep-Beef
Lambs at 30 June (no.),2005,699,17,Queensland,Sheep-Beef
Sheep flock at 30 June (no.),2005,3982,13,Queensland,Sheep-Beef
Beef bulls at 30 June (no.),2005,3,14,South Australia,All Broadacre
Beef calves at 30 June (no.),2005,39,16,South Australia,All Broadacre
Beef cows at 30 June (no.),2005,77,14,South Australia,All Broadacre
Dairy cattle at June 30 (no.),2005,5,80,South Australia,All Broadacre
Lambs at 30 June (no.),2005,380,9,South Australia,All Broadacre
Sheep flock at 30 June (no.),2005,1544,8,South Australia,All Broadacre
Beef bulls at 30 June (no.),2005,11,21,South Australia,Beef
Beef calves at 30 June (no.),2005,155,30,South Australia,Beef
Beef cows at 30 June (no.),2005,342,17,South Australia,Beef
Dairy cattle at June 30 (no.),2005,0,,South Australia,Beef
Lambs at 30 June (no.),2005,60,80,South Australia,Beef
Sheep flock at 30 June (no.),2005,212,53,South Australia,Beef
Beef bulls at 30 June (no.),2005,1,51,South Australia,Cropping
Beef calves at 30 June (no.),2005,11,48,South Australia,Cropping
Beef cows at 30 June (no.),2005,19,46,South Australia,Cropping
Dairy cattle at June 30 (no.),2005,12,80,South Australia,Cropping
Lambs at 30 June (no.),2005,214,15,South Australia,Cropping
Sheep flock at 30 June (no.),2005,706,11,South Australia,Cropping
Dairy cattle at June 30 (no.),2005,326,8,South Australia,Dairy
Dairy cows at 30 June (no.),2005,,,South Australia,Dairy
Beef bulls at 30 June (no.),2005,1,50,South Australia,Mixed
Beef calves at 30 June (no.),2005,8,39,South Australia,Mixed
Beef cows at 30 June (no.),2005,30,61,South Australia,Mixed
Dairy cattle at June 30 (no.),2005,0,,South Australia,Mixed
Lambs at 30 June (no.),2005,462,28,South Australia,Mixed
Sheep flock at 30 June (no.),2005,1734,21,South Australia,Mixed
Beef bulls at 30 June (no.),2005,2,22,South Australia,Sheep
Beef calves at 30 June (no.),2005,19,29,South Australia,Sheep
Beef cows at 30 June (no.),2005,46,28,South Australia,Sheep
Dairy cattle at June 30 (no.),2005,0,,South Australia,Sheep
Lambs at 30 June (no.),2005,694,16,South Australia,Sheep
Sheep flock at 30 June (no.),2005,3261,9,South Australia,Sheep
Beef bulls at 30 June (no.),2005,12,16,South Australia,Sheep-Beef
Beef calves at 30 June (no.),2005,163,20,South Australia,Sheep-Beef
Beef cows at 30 June (no.),2005,244,11,South Australia,Sheep-Beef
Dairy cattle at June 30 (no.),2005,0,,South Australia,Sheep-Beef
Lambs at 30 June (no.),2005,657,26,South Australia,Sheep-Beef
Sheep flock at 30 June (no.),2005,2952,18,South Australia,Sheep-Beef
Beef bulls at 30 June (no.),2005,8,19,Tasmania,All Broadacre
Beef calves at 30 June (no.),2005,70,21,Tasmania,All Broadacre
Beef cows at 30 June (no.),2005,134,15,Tasmania,All Broadacre
Dairy cattle at June 30 (no.),2005,2,96,Tasmania,All Broadacre
Lambs at 30 June (no.),2005,552,18,Tasmania,All Broadacre
Sheep flock at 30 June (no.),2005,2333,14,Tasmania,All Broadacre
Beef bulls at 30 June (no.),2005,7,46,Tasmania,Beef
Beef calves at 30 June (no.),2005,80,30,Tasmania,Beef
Beef cows at 30 June (no.),2005,106,30,Tasmania,Beef
Dairy cattle at June 30 (no.),2005,0,,Tasmania,Beef
Lambs at 30 June (no.),2005,37,76,Tasmania,Beef
Sheep flock at 30 June (no.),2005,175,52,Tasmania,Beef
Dairy cattle at June 30 (no.),2005,361,11,Tasmania,Dairy
Dairy cows at 30 June (no.),2005,,,Tasmania,Dairy
Beef bulls at 30 June (no.),2005,0,36,Tasmania,Mixed
Beef calves at 30 June (no.),2005,2,79,Tasmania,Mixed
Beef cows at 30 June (no.),2005,5,33,Tasmania,Mixed
Dairy cattle at June 30 (no.),2005,0,,Tasmania,Mixed
Lambs at 30 June (no.),2005,573,44,Tasmania,Mixed
Sheep flock at 30 June (no.),2005,2131,15,Tasmania,Mixed
Beef bulls at 30 June (no.),2005,4,37,Tasmania,Sheep
Beef calves at 30 June (no.),2005,24,33,Tasmania,Sheep
Beef cows at 30 June (no.),2005,64,16,Tasmania,Sheep
Dairy cattle at June 30 (no.),2005,5,98,Tasmania,Sheep
Lambs at 30 June (no.),2005,854,30,Tasmania,Sheep
Sheep flock at 30 June (no.),2005,3840,18,Tasmania,Sheep
Beef bulls at 30 June (no.),2005,17,18,Tasmania,Sheep-Beef
Beef calves at 30 June (no.),2005,127,31,Tasmania,Sheep-Beef
Beef cows at 30 June (no.),2005,292,20,Tasmania,Sheep-Beef
Dairy cattle at June 30 (no.),2005,0,,Tasmania,Sheep-Beef
Lambs at 30 June (no.),2005,952,22,Tasmania,Sheep-Beef
Sheep flock at 30 June (no.),2005,3773,18,Tasmania,Sheep-Beef
Beef bulls at 30 June (no.),2005,2,11,Victoria,All Broadacre
Beef calves at 30 June (no.),2005,36,12,Victoria,All Broadacre
Beef cows at 30 June (no.),2005,65,10,Victoria,All Broadacre
Dairy cattle at June 30 (no.),2005,0,72,Victoria,All Broadacre
Lambs at 30 June (no.),2005,401,10,Victoria,All Broadacre
Sheep flock at 30 June (no.),2005,1507,8,Victoria,All Broadacre
Beef bulls at 30 June (no.),2005,6,13,Victoria,Beef
Beef calves at 30 June (no.),2005,112,12,Victoria,Beef
Beef cows at 30 June (no.),2005,180,11,Victoria,Beef
Dairy cattle at June 30 (no.),2005,1,97,Victoria,Beef
Lambs at 30 June (no.),2005,16,55,Victoria,Beef
Sheep flock at 30 June (no.),2005,86,34,Victoria,Beef
Beef bulls at 30 June (no.),2005,0,63,Victoria,Cropping
Beef calves at 30 June (no.),2005,3,63,Victoria,Cropping
Beef cows at 30 June (no.),2005,13,52,Victoria,Cropping
Dairy cattle at June 30 (no.),2005,0,,Victoria,Cropping
Lambs at 30 June (no.),2005,228,15,Victoria,Cropping
Sheep flock at 30 June (no.),2005,683,13,Victoria,Cropping
Dairy cattle at June 30 (no.),2005,297,5,Victoria,Dairy
Dairy cows at 30 June (no.),2005,,,Victoria,Dairy
Beef bulls at 30 June (no.),2005,0,31,Victoria,Mixed
Beef calves at 30 June (no.),2005,9,42,Victoria,Mixed
Beef cows at 30 June (no.),2005,20,39,Victoria,Mixed
Dairy cattle at June 30 (no.),2005,1,126,Victoria,Mixed
Lambs at 30 June (no.),2005,478,13,Victoria,Mixed
Sheep flock at 30 June (no.),2005,1621,12,Victoria,Mixed
Beef bulls at 30 June (no.),2005,1,21,Victoria,Sheep
Beef calves at 30 June (no.),2005,8,32,Victoria,Sheep
Beef cows at 30 June (no.),2005,19,26,Victoria,Sheep
Dairy cattle at June 30 (no.),2005,0,,Victoria,Sheep
Lambs at 30 June (no.),2005,759,18,Victoria,Sheep
Sheep flock at 30 June (no.),2005,2972,11,Victoria,Sheep
Beef bulls at 30 June (no.),2005,4,19,Victoria,Sheep-Beef
Beef calves at 30 June (no.),2005,54,22,Victoria,Sheep-Beef
Beef cows at 30 June (no.),2005,120,14,Victoria,Sheep-Beef
Dairy cattle at June 30 (no.),2005,0,,Victoria,Sheep-Beef
Lambs at 30 June (no.),2005,568,16,Victoria,Sheep-Beef
Sheep flock at 30 June (no.),2005,2588,13,Victoria,Sheep-Beef
Beef bulls at 30 June (no.),2005,7,17,Western Australia,All Broadacre
Beef calves at 30 June (no.),2005,59,14,Western Australia,All Broadacre
Beef cows at 30 June (no.),2005,98,12,Western Australia,All Broadacre
Dairy cattle at June 30 (no.),2005,0,,Western Australia,All Broadacre
Lambs at 30 June (no.),2005,792,14,Western Australia,All Broadacre
Sheep flock at 30 June (no.),2005,3145,11,Western Australia,All Broadacre
Beef bulls at 30 June (no.),2005,35,20,Western Australia,Beef
Beef calves at 30 June (no.),2005,284,11,Western Australia,Beef
Beef cows at 30 June (no.),2005,482,13,Western Australia,Beef
Dairy cattle at June 30 (no.),2005,0,,Western Australia,Beef
Lambs at 30 June (no.),2005,34,63,Western Australia,Beef
Sheep flock at 30 June (no.),2005,120,69,Western Australia,Beef
Beef bulls at 30 June (no.),2005,0,54,Western Australia,Cropping
Beef calves at 30 June (no.),2005,3,57,Western Australia,Cropping
Beef cows at 30 June (no.),2005,5,49,Western Australia,Cropping
Dairy cattle at June 30 (no.),2005,0,,Western Australia,Cropping
Lambs at 30 June (no.),2005,679,14,Western Australia,Cropping
Sheep flock at 30 June (no.),2005,2600,10,Western Australia,Cropping
Dairy cattle at June 30 (no.),2005,365,7,Western Australia,Dairy
Dairy cows at 30 June (no.),2005,,,Western Australia,Dairy
Beef bulls at 30 June (no.),2005,2,59,Western Australia,Mixed
Beef calves at 30 June (no.),2005,26,51,Western Australia,Mixed
Beef cows at 30 June (no.),2005,36,48,Western Australia,Mixed
Dairy cattle at June 30 (no.),2005,0,,Western Australia,Mixed
Lambs at 30 June (no.),2005,1006,20,Western Australia,Mixed
Sheep flock at 30 June (no.),2005,4134,16,Western Australia,Mixed
Beef bulls at 30 June (no.),2005,2,98,Western Australia,Sheep
Beef calves at 30 June (no.),2005,15,55,Western Australia,Sheep
Beef cows at 30 June (no.),2005,28,43,Western Australia,Sheep
Dairy cattle at June 30 (no.),2005,0,,Western Australia,Sheep
Lambs at 30 June (no.),2005,1289,51,Western Australia,Sheep
Sheep flock at 30 June (no.),2005,4786,39,Western Australia,Sheep
Beef bulls at 30 June (no.),2005,16,47,Western Australia,Sheep-Beef
Beef calves at 30 June (no.),2005,110,16,Western Australia,Sheep-Beef
Beef cows at 30 June (no.),2005,197,25,Western Australia,Sheep-Beef
Dairy cattle at June 30 (no.),2005,0,,Western Australia,Sheep-Beef
Lambs at 30 June (no.),2005,483,57,Western Australia,Sheep-Beef
Sheep flock at 30 June (no.),2005,2550,56,Western Australia,Sheep-Beef
Beef bulls at 30 June (no.),2006,4,15,New South Wales,All Broadacre
Beef calves at 30 June (no.),2006,55,9,New South Wales,All Broadacre
Beef cows at 30 June (no.),2006,110,18,New South Wales,All Broadacre
Dairy cattle at June 30 (no.),2006,2,110,New South Wales,All Broadacre
Lambs at 30 June (no.),2006,369,9,New South Wales,All Broadacre
Sheep flock at 30 June (no.),2006,1436,11,New South Wales,All Broadacre
Beef bulls at 30 June (no.),2006,8,10,New South Wales,Beef
Beef calves at 30 June (no.),2006,105,10,New South Wales,Beef
Beef cows at 30 June (no.),2006,189,9,New South Wales,Beef
Dairy cattle at June 30 (no.),2006,0,,New South Wales,Beef
Lambs at 30 June (no.),2006,30,57,New South Wales,Beef
Sheep flock at 30 June (no.),2006,178,33,New South Wales,Beef
Beef bulls at 30 June (no.),2006,2,35,New South Wales,Cropping
Beef calves at 30 June (no.),2006,21,25,New South Wales,Cropping
Beef cows at 30 June (no.),2006,47,34,New South Wales,Cropping
Dairy cattle at June 30 (no.),2006,0,,New South Wales,Cropping
Lambs at 30 June (no.),2006,454,17,New South Wales,Cropping
Sheep flock at 30 June (no.),2006,1328,17,New South Wales,Cropping
Dairy cattle at June 30 (no.),2006,358,4,New South Wales,Dairy
Dairy cows at 30 June (no.),2006,214,4,New South Wales,Dairy
Beef bulls at 30 June (no.),2006,2,37,New South Wales,Mixed
Beef calves at 30 June (no.),2006,29,18,New South Wales,Mixed
Beef cows at 30 June (no.),2006,61,14,New South Wales,Mixed
Dairy cattle at June 30 (no.),2006,7,110,New South Wales,Mixed
Lambs at 30 June (no.),2006,475,13,New South Wales,Mixed
Sheep flock at 30 June (no.),2006,1508,11,New South Wales,Mixed
Beef bulls at 30 June (no.),2006,1,20,New South Wales,Sheep
Beef calves at 30 June (no.),2006,23,26,New South Wales,Sheep
Beef cows at 30 June (no.),2006,38,18,New South Wales,Sheep
Dairy cattle at June 30 (no.),2006,0,,New South Wales,Sheep
Lambs at 30 June (no.),2006,460,11,New South Wales,Sheep
Sheep flock at 30 June (no.),2006,2370,13,New South Wales,Sheep
Beef bulls at 30 June (no.),2006,9,43,New South Wales,Sheep-Beef
Beef calves at 30 June (no.),2006,89,15,New South Wales,Sheep-Beef
Beef cows at 30 June (no.),2006,216,56,New South Wales,Sheep-Beef
Dairy cattle at June 30 (no.),2006,0,,New South Wales,Sheep-Beef
Lambs at 30 June (no.),2006,517,18,New South Wales,Sheep-Beef
Sheep flock at 30 June (no.),2006,2151,14,New South Wales,Sheep-Beef
Beef bulls at 30 June (no.),2006,255,12,Northern Territory,All Broadacre
Beef calves at 30 June (no.),2006,1370,16,Northern Territory,All Broadacre
Beef cows at 30 June (no.),2006,5111,14,Northern Territory,All Broadacre
Dairy cattle at June 30 (no.),2006,0,,Northern Territory,All Broadacre
Lambs at 30 June (no.),2006,0,,Northern Territory,All Broadacre
Sheep flock at 30 June (no.),2006,0,,Northern Territory,All Broadacre
Beef bulls at 30 June (no.),2006,255,12,Northern Territory,Beef
Beef calves at 30 June (no.),2006,1370,16,Northern Territory,Beef
Beef cows at 30 June (no.),2006,5111,14,Northern Territory,Beef
Dairy cattle at June 30 (no.),2006,0,,Northern Territory,Beef
Lambs at 30 June (no.),2006,0,,Northern Territory,Beef
Sheep flock at 30 June (no.),2006,0,,Northern Territory,Beef
Beef bulls at 30 June (no.),2006,19,21,Queensland,All Broadacre
Beef calves at 30 June (no.),2006,213,10,Queensland,All Broadacre
Beef cows at 30 June (no.),2006,410,18,Queensland,All Broadacre
Dairy cattle at June 30 (no.),2006,0,,Queensland,All Broadacre
Lambs at 30 June (no.),2006,90,19,Queensland,All Broadacre
Sheep flock at 30 June (no.),2006,454,16,Queensland,All Broadacre
Beef bulls at 30 June (no.),2006,25,24,Queensland,Beef
Beef calves at 30 June (no.),2006,296,11,Queensland,Beef
Beef cows at 30 June (no.),2006,567,21,Queensland,Beef
Dairy cattle at June 30 (no.),2006,0,,Queensland,Beef
Lambs at 30 June (no.),2006,7,59,Queensland,Beef
Sheep flock at 30 June (no.),2006,32,56,Queensland,Beef
Beef bulls at 30 June (no.),2006,5,46,Queensland,Cropping
Beef calves at 30 June (no.),2006,33,30,Queensland,Cropping
Beef cows at 30 June (no.),2006,66,30,Queensland,Cropping
Dairy cattle at June 30 (no.),2006,0,,Queensland,Cropping
Lambs at 30 June (no.),2006,22,176,Queensland,Cropping
Sheep flock at 30 June (no.),2006,101,140,Queensland,Cropping
Dairy cattle at June 30 (no.),2006,286,7,Queensland,Dairy
Dairy cows at 30 June (no.),2006,170,5,Queensland,Dairy
Beef bulls at 30 June (no.),2006,7,23,Queensland,Mixed
Beef calves at 30 June (no.),2006,104,26,Queensland,Mixed
Beef cows at 30 June (no.),2006,175,24,Queensland,Mixed
Dairy cattle at June 30 (no.),2006,0,,Queensland,Mixed
Lambs at 30 June (no.),2006,61,52,Queensland,Mixed
Sheep flock at 30 June (no.),2006,351,58,Queensland,Mixed
Beef bulls at 30 June (no.),2006,2,64,Queensland,Sheep
Beef calves at 30 June (no.),2006,20,63,Queensland,Sheep
Beef cows at 30 June (no.),2006,48,65,Queensland,Sheep
Dairy cattle at June 30 (no.),2006,0,,Queensland,Sheep
Lambs at 30 June (no.),2006,222,44,Queensland,Sheep
Sheep flock at 30 June (no.),2006,1893,34,Queensland,Sheep
Beef bulls at 30 June (no.),2006,15,30,Queensland,Sheep-Beef
Beef calves at 30 June (no.),2006,115,50,Queensland,Sheep-Beef
Beef cows at 30 June (no.),2006,271,33,Queensland,Sheep-Beef
Dairy cattle at June 30 (no.),2006,0,,Queensland,Sheep-Beef
Lambs at 30 June (no.),2006,775,23,Queensland,Sheep-Beef
Sheep flock at 30 June (no.),2006,3302,19,Queensland,Sheep-Beef
Beef bulls at 30 June (no.),2006,3,30,South Australia,All Broadacre
Beef calves at 30 June (no.),2006,38,19,South Australia,All Broadacre
Beef cows at 30 June (no.),2006,71,33,South Australia,All Broadacre
Dairy cattle at June 30 (no.),2006,1,146,South Australia,All Broadacre
Lambs at 30 June (no.),2006,402,11,South Australia,All Broadacre
Sheep flock at 30 June (no.),2006,1471,10,South Australia,All Broadacre
Beef bulls at 30 June (no.),2006,10,21,South Australia,Beef
Beef calves at 30 June (no.),2006,170,19,South Australia,Beef
Beef cows at 30 June (no.),2006,312,17,South Australia,Beef
Dairy cattle at June 30 (no.),2006,0,,South Australia,Beef
Lambs at 30 June (no.),2006,43,0,South Australia,Beef
Sheep flock at 30 June (no.),2006,254,35,South Australia,Beef
Beef bulls at 30 June (no.),2006,1,72,South Australia,Cropping
Beef calves at 30 June (no.),2006,9,63,South Australia,Cropping
Beef cows at 30 June (no.),2006,18,49,South Australia,Cropping
Dairy cattle at June 30 (no.),2006,2,156,South Australia,Cropping
Lambs at 30 June (no.),2006,256,13,South Australia,Cropping
Sheep flock at 30 June (no.),2006,753,12,South Australia,Cropping
Dairy cattle at June 30 (no.),2006,388,6,South Australia,Dairy
Dairy cows at 30 June (no.),2006,236,6,South Australia,Dairy
Beef bulls at 30 June (no.),2006,1,39,South Australia,Mixed
Beef calves at 30 June (no.),2006,15,32,South Australia,Mixed
Beef cows at 30 June (no.),2006,41,50,South Australia,Mixed
Dairy cattle at June 30 (no.),2006,0,,South Australia,Mixed
Lambs at 30 June (no.),2006,555,14,South Australia,Mixed
Sheep flock at 30 June (no.),2006,1523,12,South Australia,Mixed
Beef bulls at 30 June (no.),2006,1,36,South Australia,Sheep
Beef calves at 30 June (no.),2006,18,35,South Australia,Sheep
Beef cows at 30 June (no.),2006,28,35,South Australia,Sheep
Dairy cattle at June 30 (no.),2006,0,,South Australia,Sheep
Lambs at 30 June (no.),2006,663,24,South Australia,Sheep
Sheep flock at 30 June (no.),2006,2797,21,South Australia,Sheep
Beef bulls at 30 June (no.),2006,8,22,South Australia,Sheep-Beef
Beef calves at 30 June (no.),2006,131,27,South Australia,Sheep-Beef
Beef cows at 30 June (no.),2006,228,26,South Australia,Sheep-Beef
Dairy cattle at June 30 (no.),2006,0,,South Australia,Sheep-Beef
Lambs at 30 June (no.),2006,457,26,South Australia,Sheep-Beef
Sheep flock at 30 June (no.),2006,2669,22,South Australia,Sheep-Beef
Beef bulls at 30 June (no.),2006,8,26,Tasmania,All Broadacre
Beef calves at 30 June (no.),2006,68,29,Tasmania,All Broadacre
Beef cows at 30 June (no.),2006,132,27,Tasmania,All Broadacre
Dairy cattle at June 30 (no.),2006,9,73,Tasmania,All Broadacre
Lambs at 30 June (no.),2006,478,29,Tasmania,All Broadacre
Sheep flock at 30 June (no.),2006,2156,26,Tasmania,All Broadacre
Beef bulls at 30 June (no.),2006,8,48,Tasmania,Beef
Beef calves at 30 June (no.),2006,92,65,Tasmania,Beef
Beef cows at 30 June (no.),2006,120,29,Tasmania,Beef
Dairy cattle at June 30 (no.),2006,18,85,Tasmania,Beef
Lambs at 30 June (no.),2006,23,50,Tasmania,Beef
Sheep flock at 30 June (no.),2006,91,84,Tasmania,Beef
Dairy cattle at June 30 (no.),2006,367,8,Tasmania,Dairy
Dairy cows at 30 June (no.),2006,238,6,Tasmania,Dairy
Beef bulls at 30 June (no.),2006,1,47,Tasmania,Mixed
Beef calves at 30 June (no.),2006,70,59,Tasmania,Mixed
Beef cows at 30 June (no.),2006,74,58,Tasmania,Mixed
Dairy cattle at June 30 (no.),2006,0,,Tasmania,Mixed
Lambs at 30 June (no.),2006,489,80,Tasmania,Mixed
Sheep flock at 30 June (no.),2006,3230,30,Tasmania,Mixed
Beef bulls at 30 June (no.),2006,2,47,Tasmania,Sheep
Beef calves at 30 June (no.),2006,18,35,Tasmania,Sheep
Beef cows at 30 June (no.),2006,27,19,Tasmania,Sheep
Dairy cattle at June 30 (no.),2006,4,69,Tasmania,Sheep
Lambs at 30 June (no.),2006,840,15,Tasmania,Sheep
Sheep flock at 30 June (no.),2006,3539,13,Tasmania,Sheep
Beef bulls at 30 June (no.),2006,17,15,Tasmania,Sheep-Beef
Beef calves at 30 June (no.),2006,101,27,Tasmania,Sheep-Beef
Beef cows at 30 June (no.),2006,336,11,Tasmania,Sheep-Beef
Dairy cattle at June 30 (no.),2006,0,,Tasmania,Sheep-Beef
Lambs at 30 June (no.),2006,785,22,Tasmania,Sheep-Beef
Sheep flock at 30 June (no.),2006,3821,17,Tasmania,Sheep-Beef
Beef bulls at 30 June (no.),2006,2,13,Victoria,All Broadacre
